scheme_id,scheme_name,ministry,category,study_level,target_group,official_url,verification_date,,,,,,,,,,
CG001,Central Sector Scheme of Scholarship for College and University Students (CSSS),Ministry of Education,Scholarship,UG/PG,Meritorious students from low-income families,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG002,National Means-cum-Merit Scholarship Scheme (NMMSS),Department of School Education & Literacy,Scholarship,School,Meritorious students from economically weaker sections,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG003,Pre-Matric Scholarship for Students with Disabilities,Department of Empowerment of Persons with Disabilities,Scholarship,School,Students with disabilities,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG004,Post-Matric Scholarship for Students with Disabilities,Department of Empowerment of Persons with Disabilities,Scholarship,Class XI/UG/PG,Students with disabilities,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG005,Scholarship for Top Class Education for Students with Disabilities,Department of Empowerment of Persons with Disabilities,Scholarship,UG/PG,Students with disabilities admitted to notified institutions,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG006,National Fellowship for Scheduled Caste Students,Ministry of Social Justice and Empowerment,Fellowship,PhD,Scheduled Caste research scholars,https://socialjustice.gov.in/ ,9/7/2026,,,,,,,,,,
CG007,Top Class Education Scheme for SC Students,Ministry of Social Justice and Empowerment,Scholarship,UG/PG,Scheduled Caste students,https://socialjustice.gov.in/ ,9/7/2026,,,,,,,,,,
CG008,Post-Matric Scholarship for SC Students,Ministry of Social Justice and Empowerment,Scholarship,Post-matric/UG/PG,Scheduled Caste students,https://socialjustice.gov.in/ ,9/7/2026,,,,,,,,,,
CG009,Pre-Matric Scholarship for SC Students,Ministry of Social Justice and Empowerment,Scholarship,School,Scheduled Caste students,https://socialjustice.gov.in/ ,9/7/2026,,,,,,,,,,
CG010,National Fellowship and Scholarship for Higher Education of ST Students,Ministry of Tribal Affairs,Fellowship/Scholarship,UG/PG/PhD,Scheduled Tribe students and research scholars,https://tribal.nic.in/ ,9/7/2026,,,,,,,,,,
CG011,Post-Matric Scholarship for ST Students,Ministry of Tribal Affairs,Scholarship,Post-matric/UG/PG,Scheduled Tribe students,https://tribal.nic.in/ ,9/7/2026,,,,,,,,,,
CG012,Pre-Matric Scholarship for ST Students,Ministry of Tribal Affairs,Scholarship,School,Scheduled Tribe students,https://tribal.nic.in/ ,9/7/2026,,,,,,,,,,
CG013,Ishan Uday Special Scholarship Scheme for North Eastern Region,University Grants Commission / Ministry of Education,Scholarship,UG,Students from North Eastern states,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG014,National Scholarship for Post Graduate Studies,University Grants Commission / Ministry of Education,Scholarship,PG,Postgraduate students,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG015,AICTE Pragati Scholarship Scheme for Girl Students,All India Council for Technical Education,Scholarship,Diploma/UG,Girl students pursuing technical education,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG016,AICTE Saksham Scholarship Scheme,All India Council for Technical Education,Scholarship,Diploma/UG,Specially-abled students pursuing technical education,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG017,AICTE Swanath Scholarship Scheme,All India Council for Technical Education,Scholarship,Diploma/UG,Students meeting AICTE Swanath eligibility conditions,https://scholarships.gov.in/ ,9/7/2026,,,,,,,,,,
CG018,Maulana Azad National Fellowship,Ministry of Minority Affairs,Fellowship,MPhil/PhD,Students from notified minority communities,https://minorityaffairs.gov.in/ ,9/7/2026,,,,,,,,,,
CG019,Merit-cum-Means Scholarship for Professional and Technical Courses,Ministry of Minority Affairs,Scholarship,UG/PG,Students from minority communities,https://minorityaffairs.gov.in/ ,9/7/2026,,,,,,,,,,
CG020,Post-Matric Scholarship Scheme for Minorities,Ministry of Minority Affairs,Scholarship,Class XI/UG/PG,Students from minority communities,https://minorityaffairs.gov.in/ ,9/7/2026,,,,,,,,,,
CG021,Scholarship Scheme for Students from Minority Communities,Ministry of Minority Affairs,Scholarship,School/UG/PG,Eligible minority students,https://minorityaffairs.gov.in/ ,9/7/2026,,,,,,,,,,
