scheme_id,scheme_name,retrieval_text,official_url,source_name,rule_version
CG001,Central Sector Scheme of Scholarship for College and University Students (CSSS),"Scheme Name: Central Sector Scheme of Scholarship for College and University Students (CSSS). Category: Scholarship. Study Level: UG/PG. Target Group: Meritorious students from low-income families. Description: Central Sector Scheme of Scholarship for College and University Students (CSSS) is a scholarship initiative for meritorious students from low-income families, covering UG/PG education/research.. Eligibility: Primarily intended for meritorious students from low-income families. Applicable study level: UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Central Sector Scheme of Scholarship for College and University Students (CSSS), Scholarship, UG/PG, Meritorious students from low-income families, Ministry of Education.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG002,National Means-cum-Merit Scholarship Scheme (NMMSS),"Scheme Name: National Means-cum-Merit Scholarship Scheme (NMMSS). Category: Scholarship. Study Level: School. Target Group: Meritorious students from economically weaker sections. Description: National Means-cum-Merit Scholarship Scheme (NMMSS) is a scholarship initiative for meritorious students from economically weaker sections, covering School education/research.. Eligibility: Primarily intended for meritorious students from economically weaker sections. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: National Means-cum-Merit Scholarship Scheme (NMMSS), Scholarship, School, Meritorious students from economically weaker sections, Department of School Education & Literacy.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG003,Pre-Matric Scholarship for Students with Disabilities,"Scheme Name: Pre-Matric Scholarship for Students with Disabilities. Category: Scholarship. Study Level: School. Target Group: Students with disabilities. Description: Pre-Matric Scholarship for Students with Disabilities is a scholarship initiative for students with disabilities, covering School education/research.. Eligibility: Primarily intended for students with disabilities. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Pre-Matric Scholarship for Students with Disabilities, Scholarship, School, Students with disabilities, Department of Empowerment of Persons with Disabilities.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG004,Post-Matric Scholarship for Students with Disabilities,"Scheme Name: Post-Matric Scholarship for Students with Disabilities. Category: Scholarship. Study Level: Class XI/UG/PG. Target Group: Students with disabilities. Description: Post-Matric Scholarship for Students with Disabilities is a scholarship initiative for students with disabilities, covering Class XI/UG/PG education/research.. Eligibility: Primarily intended for students with disabilities. Applicable study level: Class XI/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Post-Matric Scholarship for Students with Disabilities, Scholarship, Class XI/UG/PG, Students with disabilities, Department of Empowerment of Persons with Disabilities.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG005,Scholarship for Top Class Education for Students with Disabilities,"Scheme Name: Scholarship for Top Class Education for Students with Disabilities. Category: Scholarship. Study Level: UG/PG. Target Group: Students with disabilities admitted to notified institutions. Description: Scholarship for Top Class Education for Students with Disabilities is a scholarship initiative for students with disabilities admitted to notified institutions, covering UG/PG education/research.. Eligibility: Primarily intended for students with disabilities admitted to notified institutions. Applicable study level: UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Scholarship for Top Class Education for Students with Disabilities, Scholarship, UG/PG, Students with disabilities admitted to notified institutions, Department of Empowerment of Persons with Disabilities.",https://scholarships.gov.in/,National Scholarship Portal,v1.0
CG006,National Fellowship for Scheduled Caste Students,"Scheme Name: National Fellowship for Scheduled Caste Students. Category: Fellowship. Study Level: PhD. Target Group: Scheduled Caste research scholars. Description: National Fellowship for Scheduled Caste Students is a fellowship initiative for scheduled caste research scholars, covering PhD education/research.. Eligibility: Primarily intended for scheduled caste research scholars. Applicable study level: PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Financial support for eligible academic or research study, subject to the applicable fellowship rules.. Keywords: National Fellowship for Scheduled Caste Students, Fellowship, PhD, Scheduled Caste research scholars, Ministry of Social Justice and Empowerment.",https://socialjustice.gov.in/,Ministry of Social Justice and Empowerment,v1.0
CG007,Top Class Education Scheme for SC Students,"Scheme Name: Top Class Education Scheme for SC Students. Category: Scholarship. Study Level: UG/PG. Target Group: Scheduled Caste students. Description: Top Class Education Scheme for SC Students is a scholarship initiative for scheduled caste students, covering UG/PG education/research.. Eligibility: Primarily intended for scheduled caste students. Applicable study level: UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Top Class Education Scheme for SC Students, Scholarship, UG/PG, Scheduled Caste students, Ministry of Social Justice and Empowerment.",https://socialjustice.gov.in/,Ministry of Social Justice and Empowerment,v1.0
CG008,Post-Matric Scholarship for SC Students,"Scheme Name: Post-Matric Scholarship for SC Students. Category: Scholarship. Study Level: Post-matric/UG/PG. Target Group: Scheduled Caste students. Description: Post-Matric Scholarship for SC Students is a scholarship initiative for scheduled caste students, covering Post-matric/UG/PG education/research.. Eligibility: Primarily intended for scheduled caste students. Applicable study level: Post-matric/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Post-Matric Scholarship for SC Students, Scholarship, Post-matric/UG/PG, Scheduled Caste students, Ministry of Social Justice and Empowerment.",https://socialjustice.gov.in/,Ministry of Social Justice and Empowerment,v1.0
CG009,Pre-Matric Scholarship for SC Students,"Scheme Name: Pre-Matric Scholarship for SC Students. Category: Scholarship. Study Level: School. Target Group: Scheduled Caste students. Description: Pre-Matric Scholarship for SC Students is a scholarship initiative for scheduled caste students, covering School education/research.. Eligibility: Primarily intended for scheduled caste students. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Pre-Matric Scholarship for SC Students, Scholarship, School, Scheduled Caste students, Ministry of Social Justice and Empowerment.",https://socialjustice.gov.in/,Ministry of Social Justice and Empowerment,v1.0
CG010,National Fellowship and Scholarship for Higher Education of ST Students,"Scheme Name: National Fellowship and Scholarship for Higher Education of ST Students. Category: Fellowship/Scholarship. Study Level: UG/PG/PhD. Target Group: Scheduled Tribe students and research scholars. Description: National Fellowship and Scholarship for Higher Education of ST Students is a fellowship/scholarship initiative for scheduled tribe students and research scholars, covering UG/PG/PhD education/research.. Eligibility: Primarily intended for scheduled tribe students and research scholars. Applicable study level: UG/PG/PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Financial support for eligible academic or research study, subject to the applicable fellowship rules.. Keywords: National Fellowship and Scholarship for Higher Education of ST Students, Fellowship/Scholarship, UG/PG/PhD, Scheduled Tribe students and research scholars, Ministry of Tribal Affairs.",https://tribal.nic.in/,Ministry of Tribal Affairs,v1.0
CG011,Post-Matric Scholarship for ST Students,"Scheme Name: Post-Matric Scholarship for ST Students. Category: Scholarship. Study Level: Post-matric/UG/PG. Target Group: Scheduled Tribe students. Description: Post-Matric Scholarship for ST Students is a scholarship initiative for scheduled tribe students, covering Post-matric/UG/PG education/research.. Eligibility: Primarily intended for scheduled tribe students. Applicable study level: Post-matric/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.. Benefits: Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.. Keywords: Post-Matric Scholarship for ST Students, Scholarship, Post-matric/UG/PG, Scheduled Tribe students, Ministry of Tribal Affairs.",https://tribal.nic.in/,Ministry of Tribal Affairs,v1.0
