ID,Scholarship / Education Scheme,Source,Category,Status
C001,Pradhan Mantri Uchchatar Shiksha Protsahan Yojana - Special Scholarship Scheme for Jammu & Kashmir and Ladakh.,NSP,Higher Education,Verified
C002,National Scholarship for Post Graduate Studies.,NSP,Higher Education,Verified
C003,AICTE � Saksham Scholarship Scheme For Specially-Abled Student (Degree).,NSP,Technical Education,Verified
C004,Pre-Matric Scholarship for Students with Disabilities.,NSP,School Education/Disability,Verified
C005,Post-Matric Scholarship for Students with Disabilities.,NSP,Higher Education/Disability,Verified
C006,Top Class Education for Students with Disabilities.,NSP,Higher Education/Disability,Verified
C007,Top Class Education For Scheduled Caste Students.,NSP,Higher Education/SC,Verified
C008,Pre Matric Scholarship for SC students- DNH & DD.,NSP,School Education/SC,Verified
C009,Post Matric Scholarship for SC students (Delhi).,NSP,Higher Education/SC,Verified
C010,"PM-YASASVI: Post-Matric Scholarship for OBC, EBC and DNT Students.",NSP,Higher Education/OBC,Verified
C011,"PM-YASASVI: Top Class School Education for OBC, EBC and DNT Students.",NSP,School Education/OBC,Verified
C012,"PM-YASASVI: Top Class College Education for OBC, EBC and DNT Students.",NSP,Higher Education/OBC,Verified
C013,Financial Assistance for Education to the Wards of Beedi/Cine/IOMC/LSDM Workers � Pre & Post-Matric.,NSP,Education Assistance,Verified
C014,National Fellowship and Scholarship for Higher Education of ST Students,NSP,Higher Education/ST,Verified
C015,Pre-Matric Scholarship for ST Students,NSP,School Education/ST,Verified
C016,Post-Matric Scholarship for ST Students,NSP,Higher Education/ST,Verified
C017,Prime Minister's Scholarship Scheme for Central Armed Police Forces & Assam Rifles,NSP,Higher Education/Defence,Verified
C018,Prime Minister's Scholarship Scheme for RPF/RPSF,NSP,Higher Education/Defence,Verified
C019,Prime Minister's Scholarship Scheme for Wards of States/UTs Police Personnel,NSP,Higher Education/Police,Verified
C020,Financial Support to Students of NER for Higher Professional Courses,NSP,Professional Education,Verified
C021,Begum Hazrat Mahal National Scholarship,NSP,School Education/Minority,Verified
C022,National Overseas Scholarship,Government of India,Higher Education,Verified
C023,Maulana Azad National Fellowship,Government of India,Higher Education/Minority,Verified
C024,Central Sector Scholarship Scheme for SC Students,Government of India,Higher Education/SC,Verified
C025,Scholarship Scheme for Higher Education of ST Students,Government of India,Higher Education/ST,Verified
C026,Post-Matric Scholarship for EBC Students,Government of India,Higher Education,Verified
C027,Scholarship for College and University Students,Government of India,Higher Education,Verified
C028,Karnataka Minorities Pre-Matric Scholarship,Karnataka Minorities Department,School Education/Minority,Verified
C029,Karnataka Minorities Post-Matric Scholarship,Karnataka Minorities Department,Higher Education/Minority,Verified
C030,Karnataka Minorities Merit-Cum-Means Scholarship,Karnataka Minorities Department,Professional Education,Verified
C031,Karnataka Minorities Overseas Scholarship,Karnataka Minorities Department,Higher Education,Verified
C032,Karnataka Minority Students Hostel / Educational Assistance,Karnataka Minorities Department,Education/Hostel,Verified
C033,Karnataka Minority Students Competitive Examination Coaching,Karnataka Minorities Department,Competitive Exams,Verified
C034,Karnataka Minority Students Skill Development Training,Karnataka Minorities Department,Skill Development,Verified
C035,Karnataka Minority Community Educational Loan Assistance,Karnataka Minorities Department,Higher Education/Loan,Verified
C036,Karnataka Minority Students Professional Course Assistance,Karnataka Minorities Department,Professional Education,Verified
C037,Karnataka Minority Girls Educational Assistance,Karnataka Minorities Department,Girls Education,Verified
C038,Karnataka Minority Students Merit Scholarship,Karnataka Minorities Department,Merit,Verified
C039,Karnataka Minority Students Higher Education Assistance,Karnataka Minorities Department,Higher Education,Verified
C040,Karnataka State Scholarship for Minority Students,Karnataka Government,Minority/Education,Verified
C041,Karnataka Post-Matric Scholarship,Karnataka Government,Higher Education,Verified
C042,Karnataka Pre-Matric Scholarship,Karnataka Government,School Education,Verified
C043,Karnataka Vidyasiri Scholarship Scheme,Karnataka Government,Higher Education/Hostel,Verified
C044,National Scholarship for Meritorious Students,NSP,Merit,Verified
C045,Post-Matric Scholarship for Students with Disabilities,NSP,Disability,Verified
C046,Pre-Matric Scholarship for Students with Disabilities,NSP,Disability,Verified
C047,Top Class Education Scheme for SC Students,NSP,Higher Education,Verified
C048,National Fellowship for SC Students,Government of India,Higher Education,Verified
C049,National Fellowship for OBC Students,Government of India,Higher Education,Verified
C050,National Fellowship for Students with Disabilities,Government of India,Higher Education,Verified
C051,Scholarship for College and University Students,NSP,Higher Education,Verified
C052,Central Sector Interest Subsidy Scheme on Education Loans,Government of India,Education Finance,Verified
C053,Credit Guarantee Fund Scheme for Education Loans,Government of India,Education Finance,Verified
C054,PM Vidyalaxmi Education Loan Scheme,Government of India,Higher Education,Verified
C055,Central Sector Scholarship for Single Girl Child,Government of India,Girls Education,Verified
C056,AICTE YASHASVI Scholarship Scheme,AICTE,Technical Education,Verified
C057,AICTE Doctoral Fellowship,AICTE,Research/Higher Education,Verified
C058,AICTE PG Scholarship,AICTE,Postgraduate,Verified
C059,AICTE Research Promotion Scheme,AICTE,Research,Verified
C060,AICTE National Doctoral Fellowship,AICTE,Research,Verified
C061,UGC Junior Research Fellowship,UGC,Research,Verified
C062,UGC National Eligibility Test JRF,UGC,Research,Verified
C063,UGC Emeritus Fellowship,UGC,Research,Verified
C064,INSPIRE Scholarship for Higher Education (SHE),DST,Science Education,Verified
C065,INSPIRE Fellowship,DST,Research,Verified
C066,Kishore Vaigyanik Protsahan Yojana (KVPY),DST,Science Education,Verified
C067,Prime Minister's Research Fellowship,Government of India,Research,Verified
C068,National Education Policy Scholarship Schemes,Government of India,Education,Verified
