scheme_id,scheme_name,ministry,category,study_level,target_group,official_url,verification_date,description,eligibility,benefits,keywords,source_name,rule_version,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17
CG001,Central Sector Scheme of Scholarship for College and University Students (CSSS),Ministry of Education,Scholarship,UG/PG,Meritorious students from low-income families,https://scholarships.gov.in/,9/7/2026,"Central Sector Scheme of Scholarship for College and University Students (CSSS) is a scholarship initiative for meritorious students from low-income families, covering UG/PG education/research.",Primarily intended for meritorious students from low-income families. Applicable study level: UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Central Sector Scheme of Scholarship for College and University Students (CSSS), Scholarship, UG/PG, Meritorious students from low-income families, Ministry of Education",National Scholarship Portal,v1.0,,,,
CG002,National Means-cum-Merit Scholarship Scheme (NMMSS),Department of School Education & Literacy,Scholarship,School,Meritorious students from economically weaker sections,https://scholarships.gov.in/,9/7/2026,"National Means-cum-Merit Scholarship Scheme (NMMSS) is a scholarship initiative for meritorious students from economically weaker sections, covering School education/research.",Primarily intended for meritorious students from economically weaker sections. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","National Means-cum-Merit Scholarship Scheme (NMMSS), Scholarship, School, Meritorious students from economically weaker sections, Department of School Education & Literacy",National Scholarship Portal,v1.0,,,,
CG003,Pre-Matric Scholarship for Students with Disabilities,Department of Empowerment of Persons with Disabilities,Scholarship,School,Students with disabilities,https://scholarships.gov.in/,9/7/2026,"Pre-Matric Scholarship for Students with Disabilities is a scholarship initiative for students with disabilities, covering School education/research.",Primarily intended for students with disabilities. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Pre-Matric Scholarship for Students with Disabilities, Scholarship, School, Students with disabilities, Department of Empowerment of Persons with Disabilities",National Scholarship Portal,v1.0,,,,
CG004,Post-Matric Scholarship for Students with Disabilities,Department of Empowerment of Persons with Disabilities,Scholarship,Class XI/UG/PG,Students with disabilities,https://scholarships.gov.in/,9/7/2026,"Post-Matric Scholarship for Students with Disabilities is a scholarship initiative for students with disabilities, covering Class XI/UG/PG education/research.",Primarily intended for students with disabilities. Applicable study level: Class XI/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Post-Matric Scholarship for Students with Disabilities, Scholarship, Class XI/UG/PG, Students with disabilities, Department of Empowerment of Persons with Disabilities",National Scholarship Portal,v1.0,,,,
CG005,Scholarship for Top Class Education for Students with Disabilities,Department of Empowerment of Persons with Disabilities,Scholarship,UG/PG,Students with disabilities admitted to notified institutions,https://scholarships.gov.in/,9/7/2026,"Scholarship for Top Class Education for Students with Disabilities is a scholarship initiative for students with disabilities admitted to notified institutions, covering UG/PG education/research.",Primarily intended for students with disabilities admitted to notified institutions. Applicable study level: UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Scholarship for Top Class Education for Students with Disabilities, Scholarship, UG/PG, Students with disabilities admitted to notified institutions, Department of Empowerment of Persons with Disabilities",National Scholarship Portal,v1.0,,,,
CG006,National Fellowship for Scheduled Caste Students,Ministry of Social Justice and Empowerment,Fellowship,PhD,Scheduled Caste research scholars,https://socialjustice.gov.in/,9/7/2026,"National Fellowship for Scheduled Caste Students is a fellowship initiative for scheduled caste research scholars, covering PhD education/research.",Primarily intended for scheduled caste research scholars. Applicable study level: PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Financial support for eligible academic or research study, subject to the applicable fellowship rules.","National Fellowship for Scheduled Caste Students, Fellowship, PhD, Scheduled Caste research scholars, Ministry of Social Justice and Empowerment",Ministry of Social Justice and Empowerment,v1.0,,,,
CG007,Top Class Education Scheme for SC Students,Ministry of Social Justice and Empowerment,Scholarship,UG/PG,Scheduled Caste students,https://socialjustice.gov.in/,9/7/2026,"Top Class Education Scheme for SC Students is a scholarship initiative for scheduled caste students, covering UG/PG education/research.",Primarily intended for scheduled caste students. Applicable study level: UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Top Class Education Scheme for SC Students, Scholarship, UG/PG, Scheduled Caste students, Ministry of Social Justice and Empowerment",Ministry of Social Justice and Empowerment,v1.0,,,,
CG008,Post-Matric Scholarship for SC Students,Ministry of Social Justice and Empowerment,Scholarship,Post-matric/UG/PG,Scheduled Caste students,https://socialjustice.gov.in/,9/7/2026,"Post-Matric Scholarship for SC Students is a scholarship initiative for scheduled caste students, covering Post-matric/UG/PG education/research.",Primarily intended for scheduled caste students. Applicable study level: Post-matric/UG/PG. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Post-Matric Scholarship for SC Students, Scholarship, Post-matric/UG/PG, Scheduled Caste students, Ministry of Social Justice and Empowerment",Ministry of Social Justice and Empowerment,v1.0,,,,
CG009,Pre-Matric Scholarship for SC Students,Ministry of Social Justice and Empowerment,Scholarship,School,Scheduled Caste students,https://socialjustice.gov.in/,9/7/2026,"Pre-Matric Scholarship for SC Students is a scholarship initiative for scheduled caste students, covering School education/research.",Primarily intended for scheduled caste students. Applicable study level: School. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Scholarship-based financial assistance toward eligible education expenses, subject to the applicable scheme rules.","Pre-Matric Scholarship for SC Students, Scholarship, School, Scheduled Caste students, Ministry of Social Justice and Empowerment",Ministry of Social Justice and Empowerment,v1.0,,,,
CG010,National Fellowship and Scholarship for Higher Education of ST Students,Ministry of Tribal Affairs,Fellowship/Scholarship,UG/PG/PhD,Scheduled Tribe students and research scholars,https://tribal.nic.in/,9/7/2026,"National Fellowship and Scholarship for Higher Education of ST Students is a fellowship/scholarship initiative for scheduled tribe students and research scholars, covering UG/PG/PhD education/research.",Primarily intended for scheduled tribe students and research scholars. Applicable study level: UG/PG/PhD. Applicants must satisfy the scheme's current official conditions and documentation requirements.,"Financial support for eligible academic or research study, subject to the applicable fellowship rules.","National Fellowship and Scholarship for Higher Education of ST Students, Fellowship/Scholarship, UG/PG/PhD, Scheduled Tribe students and research scholars, Ministry of Tribal Affairs",Ministry of Tribal Affairs,v1.0,,,,
